m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
roberta,xlm,1347,I suspect peace will follow before too long,I world domination will materialize before too long,I suppose symmetrical will perish for how long,-7.288311004638673,-59.92694854736328,-59.84979248046875,-51.53334426879883,-58.8216552734375,-15.296085357666016,-50.99100875854492,-75.22301483154297,64.0,52.0,64.0,2,2,False
roberta,xlm,1384,Voice text is not yet a perfect science,Scouts pedophilia is not exactly a new science,Der stern was not solving the reissued as,-21.484554290771484,-61.34822463989258,-60.53999328613281,-60.56430435180664,-82.04885864257812,-30.217510223388672,-60.122314453125,-91.56573486328124,24.0,10.0,24.0,2,0,False
roberta,xlm,1401,You people use personal anecdotes all the time,You people post similar anecdotes all the time,Other people make sensual Bucharest all the time,-3.8632583618164062,-53.12091064453125,-52.95731735229492,-52.13243103027344,-55.995689392089844,-28.069049835205078,-52.05009460449219,-81.18997192382812,77.0,13.0,77.0,5,2,False
roberta,xlm,1415,Happened to my neighbors a few weeks ago,Below began my rant a few months ago,Happened on my foot a few days ago,-18.82561492919922,-50.52392959594727,-50.10161590576172,-39.62226104736328,-58.4478759765625,-4.1593055725097665,-39.420108795166016,-54.68323516845703,32.0,90.0,90.0,7,7,False
roberta,xlm,1448,So George decided to teach him a lesson,But also decided to spoil him a little,So George decided to teach him a lesson,-11.913192749023438,-50.70979690551758,-50.506065368652344,-38.26847457885742,-50.18166732788086,0.0,-38.268470764160156,-50.70979690551758,46.0,99.0,99.0,6,8,False
roberta,xlm,1523,My elementary school started teaching all kids spanish,My high school started giving all teachers subscriptions,Senior secondary school are off the Major block,-11.830070495605467,-63.29932403564453,-62.878334045410156,-53.77055358886719,-65.60062408447266,-17.52463150024414,-52.87043762207031,-80.82395935058594,48.0,39.0,48.0,1,2,False
roberta,xlm,1533,I wish mainstream platforms had dual socket support,Articles smarter router routers have better curl support,You said Woodward people had spinal cpu Burns,-29.34607696533203,-73.82970428466797,-73.55213165283203,-68.56998443603516,-97.9160614013672,-33.46959686279297,-67.09878540039061,-107.29930114746094,10.0,6.0,10.0,0,0,False
roberta,xlm,1549,Sorry for sharing a clip on social media,Tuesday after sharing another pic on social media,Times disallowed for a Potter and a sculptor,-10.234771728515623,-51.08259201049805,-50.24334335327149,-49.81537246704102,-60.05014419555664,-32.69417953491211,-49.16967391967773,-83.7767562866211,52.0,7.0,52.0,6,2,False
roberta,xlm,1558,You can find way better deals than that,You can find way better products than these,You can feed me more ridge like that,-4.346916198730469,-46.21914672851562,-45.37420654296875,-45.10444641113281,-49.45136260986328,-18.936695098876953,-44.20988082885742,-65.15583801269531,75.0,35.0,75.0,8,4,True
roberta,xlm,1560,Not sure how many others feel that way,Not sure how many others feel this way,Not sure how two can be one way,-0.6050262451171875,-46.3574104309082,-45.97492218017578,-38.73260498046875,-39.33763122558594,-11.33114242553711,-38.26976013183594,-57.68855285644531,91.0,67.0,91.0,8,8,False
roberta,xlm,1582,The attempted attacks against America are insanely high,Anonymous hacker attacks against universities are insanely common,The us marines on Madagascar during seventy plus,-14.401302337646484,-61.69459915161133,-61.13955688476562,-58.84472274780274,-73.24602508544922,-28.229328155517575,-58.33089065551758,-89.9239273071289,43.0,12.0,43.0,2,1,False
roberta,xlm,1639,And now that should have been a penalty,Many think that should have been a penalty,For everything I should have gotten a Crane,-5.731719970703125,-49.01017379760742,-48.2335090637207,-41.03569793701172,-46.76741790771485,-15.156757354736328,-40.551124572753906,-64.16693115234375,71.0,53.0,71.0,7,7,True
roberta,xlm,1670,Ghost of Han Solo haunting that court room,Prisoners of Han Solo overshadow Iran court case,Ghost of Joe hill screamed endless intestinal wail,-22.410728454589844,-70.27653503417969,-69.85745239257811,-62.88322448730469,-85.29395294189453,-31.51148223876953,-61.8873405456543,-101.78801727294922,22.0,8.0,22.0,0,0,False
roberta,xlm,1693,I need to stop drinking so much milk,We need to stop consuming so much caffeine,I need to stop thinking too much blood,-6.899192810058594,-45.25285720825195,-44.44041061401367,-34.741195678710945,-41.64038848876953,-6.894058227539063,-34.655879974365234,-52.14691543579102,66.0,84.0,84.0,8,9,False
roberta,xlm,1699,You are on the wrong side of history,You are on the wrong side of history,They are on the other side of no,0.0,-35.61774063110352,-35.61774063110352,-29.615562438964844,-29.615562438964844,-10.120914459228516,-28.26921844482422,-45.73861312866211,96.5,72.0,96.5,9,9,False
roberta,xlm,1807,And the jets have a lot of injuries,But the rollout unleashed a firestorm of negativity,And the Ira had a lot of jews,-38.89271545410156,-55.97356033325195,-55.58795928955078,-38.28155517578125,-77.17427062988281,-8.386013031005861,-37.00346374511719,-64.35957336425781,4.0,79.0,79.0,4,8,False
roberta,xlm,1808,Disney for sure will not acquire anymore companies,Visa for sure do not buy bad stuff,Producers for christmas did not create Major entities,-16.704803466796875,-63.307411193847656,-62.44467544555664,-58.64557647705078,-75.35037994384766,-25.74813842773437,-58.4879150390625,-89.05558013916016,37.0,18.0,37.0,1,1,False
roberta,xlm,1863,They all make the house smell pretty bad,These actually makes the beer smell pretty bad,They all make the house look real small,-11.87020492553711,-55.73414993286133,-55.30634689331055,-41.89537048339844,-53.76557540893555,-3.306705474853516,-41.68027877807617,-59.04085540771485,47.0,93.0,93.0,4,6,False
roberta,xlm,1899,He is keeping the subs too late again,Android is not all underwhelming of late yet,He was talking the Dawn of twice spaced,-20.4525146484375,-63.70193481445313,-62.73366165161133,-53.84551239013672,-74.29802703857422,-20.89447021484375,-53.83286666870117,-84.59640502929688,26.0,31.0,31.0,1,2,False
roberta,xlm,1934,Your argument is emotional and has no evidence,His ban is draconian and has no legitimacy,An automobile is Silver and has no punctuation,-12.637069702148438,-53.92016983032226,-53.752174377441406,-48.151405334472656,-60.788475036621094,-17.547176361083984,-47.41873168945313,-71.46736145019531,44.0,38.0,44.0,5,3,False
roberta,xlm,1947,The every man for himself thing I guess,The every man for himself thing I guess,The whole land contained one hundred twenty english,0.0,-54.20419311523438,-54.20419311523438,-47.188072204589844,-47.188072204589844,-19.931304931640625,-46.834999084472656,-74.135498046875,96.5,32.0,96.5,5,3,False
roberta,xlm,2021,This guy just took it to another level,This guy just took it to another level,A lift which took them to another room,0.0,-44.07234573364258,-44.07234573364258,-39.323204040527344,-39.323204040527344,-11.674453735351562,-38.53486633300781,-55.746788024902344,96.5,66.0,96.5,9,8,False
roberta,xlm,2042,Check out our profile for a sneak preview,Check out our post for a full synopsis,Carry out dental services for the cpu mother,-6.463958740234375,-46.31070327758789,-44.5221061706543,-53.99360656738281,-60.45756530761719,-41.13810348510742,-53.75709533691406,-87.44880676269531,68.0,2.0,68.0,8,2,False
roberta,xlm,2186,Your wife is a strong and beautiful woman,Your wife is a wonderful and beautiful woman,The wife was a strong and capable woman,-1.6844100952148438,-44.18314743041992,-44.00123977661133,-33.412490844726555,-35.09690093994141,-5.050701141357422,-32.86791229248047,-49.233863830566406,87.0,88.0,88.0,9,9,False
roberta,xlm,2194,Do not buy a home without an inspection,Do not sell a home without an attorney,Could not make a car from an olds,-2.298282623291016,-45.5174674987793,-45.45853042602539,-40.130706787109375,-42.42898941040039,-26.55524063110352,-40.12456130981445,-72.07272338867188,82.0,15.0,82.0,8,7,False
roberta,xlm,2262,I also hate talking to people as well,I also loves talking to people as well,I also hate lying to her as well,-3.7132492065429688,-48.93157958984375,-48.83779907226562,-39.40743255615234,-43.12068176269531,-5.2591590881347665,-38.87136459350586,-54.19072341918945,79.0,87.0,87.0,7,7,False
roberta,xlm,2285,Always thought of it as a cranes head,Gandhi think of it from the Babcock analogy,Always thought of himself as the inscriptions head,-25.29994201660156,-64.29074096679689,-63.6967658996582,-45.2850341796875,-70.58497619628906,-13.250106811523438,-44.71582412719727,-77.54083251953125,16.0,61.0,61.0,1,4,False
roberta,xlm,2299,I had no idea that was a thing,I had no idea that was a thing,I had no idea there was another world,0.0,-39.55727767944336,-39.55727767944336,-28.067153930664066,-28.067153930664066,-3.4158897399902344,-27.817798614501953,-42.9731674194336,96.5,92.0,96.5,9,9,False
roberta,xlm,2303,The center barrel can still crit pretty easily,And seems microbes can tolerate tunneling pretty good,Because earl miles was still archbishop percent sure,-32.635223388671875,-72.21330261230469,-71.76131439208984,-67.60173797607422,-100.2369613647461,-37.67772674560547,-67.42725372314453,-109.8910140991211,7.0,4.0,7.0,0,0,True
roberta,xlm,2315,The torpedo boat captain is crying as well,The Johnson says morale is tanking as well,The flying boat captain started crying as well,-19.33879852294922,-59.1085090637207,-58.9962043762207,-45.30564880371094,-64.64444732666016,-4.3633155822753915,-44.487220764160156,-63.4718246459961,27.0,89.0,89.0,2,4,False
roberta,xlm,2320,I just said it was a bad thing,I just say it is a bad deal,He just said it was a bad thing,-6.741680145263673,-42.94268035888672,-42.571285247802734,-27.05380630493164,-33.795486450195305,-1.4290618896484375,-26.83846092224121,-44.371742248535156,67.0,96.0,96.0,9,9,False
roberta,xlm,2340,If you want any input let me know,If you want any pics let me know,If I take an pill let me know,-3.7362060546875,-44.87258911132813,-44.71120071411133,-41.10741424560547,-44.84362030029297,-13.327472686767578,-41.10248565673828,-58.200050354003906,78.0,59.0,78.0,9,6,False
roberta,xlm,2348,Just not wise to have debt and invest,Trust deficit lessening to cut spending and deficits,Considered not grammatical to say christmas is Swat,-25.692588806152344,-63.3121337890625,-63.30467224121094,-55.88776397705078,-81.58035278320312,-39.87236785888672,-55.11700439453125,-103.18450164794922,14.0,3.0,14.0,1,1,True
roberta,xlm,2368,And yes too little is such a thing,But yes actually they is also a thing,And no means daddy is such a coward,-7.620193481445312,-54.16670227050781,-53.4739990234375,-45.38050842285156,-53.00070190429688,-10.614105224609377,-43.98262786865234,-64.78079223632811,61.0,71.0,71.0,5,4,False
roberta,xlm,2430,But that should never be the default assumption,But that should surely be the exit strategy,Something that might never find the second Mark,-5.559593200683594,-52.18930053710938,-52.063758850097656,-44.89902114868164,-50.45861434936523,-21.81187438964844,-41.80426025390625,-74.00114440917969,72.0,27.0,72.0,6,5,False
roberta,xlm,2450,This is not ideal for the chiefs offense,That is not over for Whitehall bosses apparently,That was an insult of the starboard bathroom,-18.57466125488281,-60.88136291503906,-60.80339813232422,-48.301025390625,-66.87568664550781,-8.992046356201172,-48.04926300048828,-69.87342071533203,33.0,78.0,78.0,2,3,False
roberta,xlm,2490,An individual is made stronger by their collective,The resilience is made stronger by early adversity,Every thing is made alive by infinite Ness,-19.290485382080078,-54.48038101196289,-54.33866500854492,-43.661170959472656,-62.95165634155274,-21.23922348022461,-42.94764709472656,-75.71958923339844,29.0,30.0,30.0,5,5,True
roberta,xlm,2502,It sounds like you just had different needs,It feels like she just had other priorities,It sounded like someone just said our families,-7.305858612060548,-51.3082504272461,-51.03342056274414,-40.664512634277344,-47.97037124633789,-11.071826934814453,-40.63625717163086,-62.38007736206055,63.0,69.0,69.0,6,7,False
roberta,xlm,2527,You will have to wait this one out,I will have to test this one out,We just have to grab this one day,-2.084068298339844,-41.01079559326172,-40.35885620117188,-34.31690216064453,-36.400970458984375,-11.295494079589846,-34.12497711181641,-52.30630111694336,85.0,68.0,85.0,9,9,False
roberta,xlm,2549,I have service line coverage through State Farm,Customers your land insurance subscriptions through State Farm,They have States inside west Lima wind Farm,-17.444591522216793,-65.55360412597656,-64.46272277832031,-62.27804183959961,-79.7226333618164,-29.5838623046875,-61.29729461669922,-95.137451171875,36.0,11.0,36.0,0,0,False
roberta,xlm,2638,The stairway is very steep with small stairs,The course is very steep with significant stairs,The way is very steep and small rocks,-9.511890411376953,-54.78210830688477,-54.63598251342773,-43.5728759765625,-53.08476638793945,-1.0953292846679688,-43.30368423461914,-55.87743759155274,53.0,97.0,97.0,4,6,False
roberta,xlm,2645,My headset works just fine without anything else,My headset works just fine without anything else,Entire Bates era that stops before something goes,0.0,-54.03477096557617,-54.03477096557617,-63.93181610107422,-63.93181610107422,-47.13966369628906,-63.91546630859375,-101.1744384765625,96.5,1.0,96.5,5,0,False
roberta,xlm,2681,I got banned for a week doing this,I got banned for a week doing this,I stay banned for a day after school,0.0,-48.58220291137695,-48.58220291137695,-45.52420425415039,-45.52420425415039,-14.989898681640625,-45.06197738647461,-63.57210159301758,96.5,54.0,96.5,7,4,False
roberta,xlm,2689,Not even a passing dismissal of his statement,Below publish a rebuttal indictment of your assertions,As in a triple Sumner of the Barlow,-30.944927215576172,-58.44137954711914,-57.88557052612305,-53.07574844360352,-84.02067565917969,-27.13308334350586,-52.56608581542969,-85.574462890625,9.0,14.0,14.0,3,2,True
roberta,xlm,2703,Probably to spare his aging and delicate voice,Fahrenheit to uncover your vulnerabilities and enriching passions,Described to him her woolly and Gray fur,-43.61102294921875,-70.09565734863281,-69.44580078125,-59.47293090820313,-103.08395385742188,-19.593833923339844,-57.95362091064453,-89.68949890136719,3.0,33.0,33.0,0,1,False
roberta,xlm,2748,Wesley is not looking too good so far,Fahrenheit is not looking too good so far,Least are not really quite good so far,-8.996627807617188,-51.259498596191406,-50.98827362060547,-46.09807586669922,-55.094703674316406,-13.286048889160154,-45.37158203125,-64.54555511474611,54.0,60.0,60.0,6,4,False
roberta,xlm,2801,As we are all possessed by your logic,Additionally we are not possessed by your virus,Like they were just properties of that bass,-8.719367980957031,-56.89315414428711,-56.82634353637695,-43.33307266235352,-52.05244064331055,-13.480350494384766,-43.31163024902344,-70.37350463867188,56.0,57.0,57.0,3,6,False
roberta,xlm,2805,This is how everyone talks at my work,Here is how one counters misleading campaign rhetoric,This is when mama talks to the synthesized,-23.263023376464844,-54.64857864379883,-54.41390609741211,-43.30963897705078,-66.57266235351561,-21.751651763916016,-42.39967346191406,-76.40023803710938,20.0,28.0,28.0,4,6,True
roberta,xlm,2820,If you want to use teams from slack,If you want to use collaborating via slack,And they have to write brake king royal,-7.367156982421875,-55.47718048095703,-55.11305618286133,-49.36906814575195,-56.73622512817383,-22.347686767578125,-49.0380859375,-77.82486724853516,62.0,24.0,62.0,4,3,False
roberta,xlm,2827,That swim lane has been set up already,One handcuff shack has been set up nearby,Where any cpu had been picked out at,-11.307987213134766,-59.39431762695313,-59.19919967651367,-50.09071350097656,-61.39870071411133,-16.453666687011722,-50.07485580444336,-75.84798431396484,49.0,44.0,49.0,2,2,False
roberta,xlm,2852,I had a really good therapy session yesterday,We had a pretty good training session today,We have a really good recording system today,-2.992969512939453,-46.43062973022461,-45.176536560058594,-40.65182495117188,-43.64479446411133,-7.427284240722656,-40.54299926757813,-53.8579216003418,81.0,82.0,82.0,8,7,False
roberta,xlm,2868,Was told it is given even for those,Congress year it is prioritizing opportunities for engagement,Been told it is given away for those,-27.8743896484375,-65.09621429443361,-64.69984436035156,-47.27706909179688,-75.15145874023438,-2.67938232421875,-46.8501968383789,-67.77560424804689,11.0,94.0,94.0,0,3,False
roberta,xlm,2871,No schedule a few days before is rough,Thrones tweet a few hours earlier was troubling,A goose a few months after christmas Singleton,-34.233993530273445,-64.49678802490234,-61.98398971557617,-54.13447570800781,-88.36846923828125,-17.312103271484375,-54.07192993164063,-81.80889129638672,6.0,40.0,40.0,0,1,False
roberta,xlm,2946,Jordan already called me a few minutes ago,Weiner friend texted me a few months ago,Described had seen her a few minutes before,-23.01462554931641,-53.74389266967773,-52.36529159545898,-44.846527099609375,-67.86115264892578,-15.372005462646484,-44.347755432128906,-69.11589813232422,21.0,50.0,50.0,5,5,False
roberta,xlm,2975,He jumped the shark a long time ago,We jumped the shark a long time ago,Had ridden the dime a long time ago,-0.5267562866210938,-47.90606307983398,-47.35962677001953,-42.150970458984375,-42.67772674560547,-15.310142517089846,-41.65132522583008,-63.216209411621094,92.0,51.0,92.0,7,6,False
roberta,xlm,3061,But kissing her should not be problematic whatsoever,Americans deporting people should not be punitive whatsoever,Means kissing me could not be incompatible enable,-17.664474487304688,-63.42933654785156,-63.42450714111328,-56.21295166015625,-73.87742614746094,-23.51654052734375,-55.69219589233398,-86.94587707519531,35.0,21.0,35.0,1,1,False
roberta,xlm,3093,It depends on how long the campaign runs,It depends on how long the campaign runs,That depended on how bad a wolf was,0.0,-45.30956268310547,-45.30956268310547,-37.74830627441406,-37.74830627441406,-13.612834930419922,-37.56761932373047,-58.92239761352539,96.5,56.0,96.5,8,8,False
roberta,xlm,3213,I was prone prior to getting shot at,I was remarking prior to getting yelled at,I was prone prior to getting shot at,-8.8785400390625,-58.77043914794922,-58.75440979003906,-44.003379821777344,-52.881919860839844,0.0,-44.003379821777344,-58.77043914794922,55.0,99.0,99.0,3,5,False
roberta,xlm,3253,No one stopped the Chiefs last year though,No one doubted the Chiefs last season either,Every man carried an Encyclopedia all day over,-5.204750061035156,-56.95579147338867,-56.821067810058594,-51.66814422607422,-56.87289428710938,-19.4927978515625,-50.478416442871094,-76.4486083984375,73.0,34.0,73.0,3,2,False
roberta,xlm,3506,It actually encouraged me to try therapy again,Experts also urge residents to avoid smoking indoors,Who actually needed me to make magic again,-18.967926025390625,-55.97877883911133,-55.23497009277344,-43.75096893310547,-62.7188949584961,-9.409137725830078,-43.64368438720703,-65.38791656494139,31.0,73.0,73.0,3,5,False
roberta,xlm,3561,Maybe someone did want a little alone time,Americans kids still want a little screen time,Maybe someone did want a little alone time,-21.87103271484375,-55.77316284179688,-55.67172241210938,-42.88843536376953,-64.75946807861328,0.0,-42.88843536376953,-55.77316284179688,23.0,99.0,99.0,4,6,False
roberta,lstm,91,I also was cracking up from the commentary,While she began cracking up from the giggles,I can recall plainly suggested that the piston,-12.50041389465332,-60.17730712890625,-60.09150314331055,-48.45669364929199,-60.95710754394531,-20.10344696044922,-48.251014709472656,-80.28075408935547,64.0,65.0,65.0,3,3,False
roberta,lstm,102,I suppose when unemployment arrives you buy more,I general when scarcity occurs consumers spend more,I wonder why Bulger ensues or were jokes,-29.67053413391113,-66.173095703125,-65.8175048828125,-53.44910430908203,-83.11963844299315,-27.14006042480469,-53.14938545227051,-93.31315612792969,30.0,38.0,38.0,0,1,False
roberta,lstm,114,A Civic has enough space for child seats,Jeep even has extra space for child seats,A snowstorm also shadowed unusable near Adriatic compartments,-12.518173217773438,-62.011474609375,-61.1948127746582,-56.628639221191406,-69.14681243896484,-61.64128112792969,-55.36628723144531,-123.65275573730469,63.0,6.0,63.0,2,1,False
roberta,lstm,189,Pick what looks and sounds cool to you,Research what looks or sounds interesting to you,Suddenly the oil giant sails flashed upon her,-9.566787719726562,-51.61041259765625,-51.12954711914063,-42.02030563354492,-51.58709335327149,-31.029266357421875,-41.963768005371094,-82.63967895507812,74.0,28.0,74.0,6,6,False
roberta,lstm,193,She figured a lot of things out herself,Have figured a bunch of stuff out recently,She displaced a fraction of herself off crowds,-7.9696998596191415,-49.8088264465332,-49.1837387084961,-43.03138732910156,-51.0010871887207,-28.48513412475586,-42.652732849121094,-78.29396057128906,79.0,33.0,79.0,7,5,False
roberta,lstm,201,The president intends to open things up soon,The also expect to tidy things up soon,Flash forward fails to balance it up soon,-13.507804870605467,-55.35784912109375,-54.41144943237305,-46.40056228637695,-59.90836715698242,-23.33777618408203,-46.36090087890625,-78.69562530517578,59.0,53.0,59.0,4,4,False
roberta,lstm,256,I doubt it since Columbia series is over,I hate it if evens hockey gets canceled,I realised college where euthanasia bag was coming,-24.937578201293945,-65.54946899414061,-65.47950744628906,-50.84002494812012,-75.77760314941406,-27.64665985107422,-50.50476837158203,-93.19612884521484,34.0,34.0,34.0,1,2,False
roberta,lstm,280,You can take all the time you need,You can take all the time you need,You can get all the damage you need,0.0,-38.726654052734375,-38.726654052734375,-28.08480834960937,-28.08480834960937,-6.488201141357423,-27.533824920654297,-45.2148551940918,97.5,99.0,99.0,9,9,False
roberta,lstm,283,I see you have a flair of culture,I see you have a bent towards ecology,I feared by myself a hypocrite and thanksgiving,-12.771078109741213,-54.11944198608398,-53.623573303222656,-41.56994819641113,-54.341026306152344,-29.211597442626953,-41.12279891967773,-83.33103942871094,61.0,32.0,61.0,5,6,False
roberta,lstm,302,Had this problem for quite some time now,Had this problem for quite some time now,Imagine a population for quite some time now,0.0,-46.73601150512695,-46.73601150512695,-36.6822395324707,-36.6822395324707,-10.826168060302734,-36.289710998535156,-57.56217956542969,97.5,94.0,97.5,8,8,False
roberta,lstm,336,Everyone is freaking about the future right now,Trump is euphoric about the market right now,She was freaking spawn the truck from her,-18.192466735839844,-51.08898162841797,-50.98733139038086,-41.416481018066406,-59.60894775390625,-25.33451843261719,-41.35242462158203,-76.42350006103516,49.0,45.0,49.0,6,6,False
roberta,lstm,339,Especially not under load or mixed graphics scenarios,Laboratories performance under standard or incremental decommissioning scenarios,Especially considering making correlates some dentists freaky spot,-58.23158645629883,-73.00672149658203,-72.22062683105469,-64.64829635620117,-122.8798828125,-39.36653900146485,-63.191001892089844,-112.37326049804688,9.0,18.0,18.0,0,0,False
roberta,lstm,393,The cows were removed and mushrooms dried up,The cows were relocated and milking contracted out,The attendants were coals and fragments catches down,-28.01342391967773,-64.66225433349611,-63.63726806640625,-51.64367294311523,-79.65709686279297,-29.46227264404297,-51.62522506713867,-94.12452697753906,32.0,31.0,32.0,1,2,False
roberta,lstm,416,We are on the right side of history,We are on the right side of history,We went on the opposite side of myself,0.0,-38.3074951171875,-38.3074951171875,-27.68781852722168,-27.68781852722168,-14.899734497070312,-26.962026596069336,-53.20722961425781,97.5,86.0,97.5,9,9,False
roberta,lstm,439,Love her waving to them at the window,Credit her beaming at you in this snapshot,Love new varieties of grandeur at the sage,-39.36196517944336,-60.71493148803711,-58.28072738647461,-46.09044647216797,-85.45241165161133,-19.930400848388672,-45.60232162475586,-80.64533233642578,17.0,68.0,68.0,3,4,False
roberta,lstm,445,This is what I love about rocket league,Here is what we believe about rail jacking,That is what I love were romantically handwriting,-19.46564102172852,-52.26026153564453,-52.02482604980469,-45.7116813659668,-65.17732238769531,-24.366455078125,-45.67145538330078,-76.62671661376953,46.0,50.0,50.0,5,4,False
roberta,lstm,457,Mine is but we just have online classes,Col course but many now offer online classes,Redding was told I frankly and disarmed typos,-34.427398681640625,-64.81172943115234,-63.70053482055664,-51.566444396972656,-85.99384307861328,-41.877906799316406,-51.338722229003906,-106.68963623046876,24.0,15.0,24.0,1,2,False
roberta,lstm,467,Please never play online with that internet connection,Subscribe subscribers login quarterly for our email newsletter,Please never forget comments with potentially most users,-145.98030662536618,-62.69950485229492,-59.9379768371582,-48.23632431030274,-194.21663093566892,-13.910076141357422,-48.17611312866211,-76.60958099365234,1.0,87.0,87.0,2,3,False
roberta,lstm,528,Thank you for your service and detailed reply,Thank you for your consideration and appreciative remarks,Thank you for your shitty and gladly reply,-11.300140380859375,-45.86102676391602,-45.11853408813477,-40.80815696716309,-52.10829734802246,-17.887622833251953,-40.189353942871094,-63.7486343383789,68.0,75.0,75.0,8,6,False
roberta,lstm,557,Leaving him would at least end the competition,Formula deal could at least end the impasse,Yea everybody would at least deter the earl,-21.836471557617188,-61.45102310180664,-61.27893447875977,-50.71950912475586,-72.55598068237305,-26.049713134765625,-50.6921272277832,-87.50071716308594,39.0,40.0,40.0,2,2,False
roberta,lstm,571,Kind of surprised you ran into that issue,Claus was surprised you ran into that issue,Kind of glad you comes over an audience,-17.047027587890625,-60.99170684814453,-60.46230697631836,-45.94419860839844,-62.99122619628906,-16.84499740600586,-43.93548583984375,-77.83670043945312,52.0,80.0,80.0,3,4,False
roberta,lstm,575,Everything that people are upset about is true,Today what people are writing here is interesting,Something that we are feeling about is simple,-17.817157745361328,-51.00294876098633,-50.40007781982422,-35.33491134643555,-53.15206909179688,-8.293025970458983,-35.192745208740234,-59.29597473144531,51.0,96.0,96.0,6,8,False
roberta,lstm,582,Going tomorrow morning before work with my husband,Minutes lazy morning before work with my husband,Cue itself I loudly work with my buddies,-20.086719512939453,-60.28373336791992,-60.03338241577149,-51.97517776489258,-72.06189727783203,-20.023235321044922,-51.87348365783691,-80.30696868896484,45.0,66.0,66.0,3,2,False
roberta,lstm,676,How did you just down air three times,How did not buy celebratory beers both times,Just did you birdies many downtown more times,-20.61400604248047,-64.58468627929689,-64.38935852050781,-53.01721954345703,-73.6312255859375,-24.86830139160156,-52.96588325500488,-89.45298767089844,44.0,46.0,46.0,1,1,False
roberta,lstm,709,Maybe give it some time to correct itself,Do give it enough time to correct itself,Better offer you my chance to establish her,-4.098312377929688,-49.5967903137207,-48.97377014160156,-40.34759521484375,-44.44590759277344,-21.313152313232425,-39.992286682128906,-70.90994262695312,87.0,59.0,87.0,7,6,False
roberta,lstm,747,Light blue with white is a classic combination,Light blue with white is a classic combination,Cyclone rules prosthetic screwdriver is a ruptured ankles,0.0,-53.40996170043945,-53.40996170043945,-55.75634002685547,-55.75634002685547,-69.95335006713867,-54.90927696228027,-123.36331176757812,97.5,4.0,97.5,5,1,False
roberta,lstm,785,And this is how you get King Trump,Now this is how you get outta Trump,And that is where they select archbishop embroidered,-12.395940780639648,-50.56280517578125,-50.412818908691406,-48.60498237609863,-61.00092315673828,-41.13005065917969,-48.44092750549317,-91.69285583496094,66.0,17.0,66.0,6,3,False
roberta,lstm,842,I feel so bad for the art department,I feel very bad for the affected parents,I was genuinely sorry for your spending work,-6.193096160888673,-46.74970245361328,-45.61505126953125,-35.12273406982422,-41.31583023071289,-17.803611755371094,-34.29195785522461,-64.55331420898439,83.0,76.0,83.0,8,8,False
roberta,lstm,929,It seems like a good price to enter,This seems like a safe area to mine,It was like a merry supper to spare,-10.094287872314453,-49.28367233276367,-48.512672424316406,-34.81895065307617,-44.91323852539063,-18.211429595947266,-34.625354766845696,-67.49510192871094,70.0,73.0,73.0,7,9,False
roberta,lstm,939,When Trump refuses to leave the White House,President Trump threatens to storm the White House,West Surrey refused to form the White House,-18.1220817565918,-41.9596061706543,-41.67458724975586,-40.66091918945313,-58.78300094604492,-25.361446380615234,-40.34695816040039,-67.32105255126953,50.0,44.0,50.0,9,6,True
roberta,lstm,954,Take Fashion Hunter to a whole other level,Taking Fashion retailing to a whole another level,Eighteen kidnappings typewriter to a misdemeanor grievous archetypes,-20.99903106689453,-59.46627807617188,-58.018516540527344,-68.35541915893555,-89.35445022583008,-97.18450927734376,-68.04182434082031,-156.65078735351562,42.0,1.0,42.0,3,0,False
roberta,lstm,960,It most likely means they are sold out,Is most likely because they were spaced out,The most efficient rock people are making out,-12.397235870361328,-51.66397094726562,-51.33702087402344,-38.71582412719727,-51.113059997558594,-16.672042846679688,-38.51298522949219,-68.33601379394531,65.0,82.0,82.0,6,7,False
roberta,lstm,1018,It gets going after the first few episodes,It gets spooky in the last few scenes,It consisted going over the past several yards,-10.00589370727539,-51.82993698120117,-51.587669372558594,-36.76051712036133,-46.76641082763672,-19.154651641845703,-36.63938903808594,-70.98458862304688,71.0,70.0,71.0,5,8,True
roberta,lstm,1026,The routing of your dog whistles is obvious,Advance advertising for discounted season ticketing is encouraged,The summits of that Savoy crawls is blasphemy,-38.71135330200195,-65.33627319335939,-64.71452331542969,-55.75622177124024,-94.4675750732422,-37.04618835449219,-55.0420036315918,-102.38246154785156,20.0,20.0,20.0,1,1,False
roberta,lstm,1065,Another suggestion is The Boys on Amazon Prime,Finally lastly find The Sims on Amazon here,Another tourist town cyclone leaped in install rigs,-24.303821563720703,-63.20252227783203,-63.07350158691406,-59.78857421875,-84.0923957824707,-44.672019958496094,-59.61161804199219,-107.87454223632812,36.0,12.0,36.0,2,0,False
roberta,lstm,1070,The air is also thinner so less resistance,The material is getting lighter so less resistance,The flesh is commonly circular became a oxide,-6.825782775878906,-57.300148010253906,-56.6029167175293,-48.34052276611328,-55.16630554199219,-23.85802459716797,-48.217201232910156,-81.15817260742188,82.0,52.0,82.0,4,3,False
