sentence_pair,subjects_majority_vote,sentence1,sentence2,probability_sentence1,probability_sentence2
Arkansas is just one giant highway off ramp_Finding a good one is really hard though,2.0,Arkansas is just one giant highway off ramp,Finding a good one is really hard though,-47.11961567401886,-23.481426537036896
As is being with someone dealing with it_Learning new tech can be frustrating and daunting,2.0,As is being with someone dealing with it,Learning new tech can be frustrating and daunting,-44.94790441542864,-28.235927283763885
At first pick me kind was supposed influence_He can call his insurance without your knowledge,2.0,At first pick me kind was supposed influence,He can call his insurance without your knowledge,-69.74344682693481,-38.93016868829727
Authorities said six schools were among crowded residents_He is different countries that the cause diarrhea,1.0,Authorities said six schools were among crowded residents,He is different countries that the cause diarrhea,-45.164202094078064,-60.15158677101135
Bad players look better in a solid system_Las beans taste best with a mustard sauce,1.0,Bad players look better in a solid system,Las beans taste best with a mustard sauce,-36.08989328145981,-44.286829829216
Because it would be easier to act that_So it would be interesting to check that,2.0,Because it would be easier to act that,So it would be interesting to check that,-35.18662083148956,-21.330653861165047
Being certified and available go a long way_Boxer briefs are the only way to fly,1.0,Being certified and available go a long way,Boxer briefs are the only way to fly,-36.308111164718866,-41.83447387814522
Below publish a rebuttal indictment of your assertions_Not even a passing dismissal of his statement,2.0,Below publish a rebuttal indictment of your assertions,Not even a passing dismissal of his statement,-50.96494396275375,-39.541083097457886
Best loads of my life doing all that_Download and run the Windows Update Assistant tool,2.0,Best loads of my life doing all that,Download and run the Windows Update Assistant tool,-45.07425093650818,-29.2986341714859
Bob sounds like a middle aged balding man_That alone is deserving of a stiff rebuke,1.0,Bob sounds like a middle aged balding man,That alone is deserving of a stiff rebuke,-35.570417523384094,-30.602185294032097
Brezhnev reaffirmed by two misdemeanor turbines on deteriorate_Yep sounds like a pole barn to me,2.0,Brezhnev reaffirmed by two misdemeanor turbines on deteriorate,Yep sounds like a pole barn to me,-86.04378707101569,-37.91351283341646
Bro did you avoid them because of that_Our city and county handled it exceptionally well,2.0,Bro did you avoid them because of that,Our city and county handled it exceptionally well,-43.34667944908142,-33.40594532340765
But Pepsi Max is superior to Diet Coke_Kinda tired of that route for the characters,1.0,But Pepsi Max is superior to Diet Coke,Kinda tired of that route for the characters,-42.45031401515007,-41.988837480545044
But definitely have a headache after this experience_Where William and his darling were lying together,1.0,But definitely have a headache after this experience,Where William and his darling were lying together,-38.878270745277405,-49.26861071586609
But it has definitely gotten out of hand_But it has quickly gotten out of hand,1.0,But it has definitely gotten out of hand,But it has quickly gotten out of hand,-23.251558288931847,-22.579771101474762
But she did a waste precious root problem_If we did a vote to kick system,2.0,But she did a waste precious root problem,If we did a vote to kick system,-60.192057609558105,-46.83151316642761
But these weapons I listed do more damage_I Think You Should Leave with Tim Robinson,1.0,But these weapons I listed do more damage,I Think You Should Leave with Tim Robinson,-43.31625282764435,-50.92609906196594
Call the electric company to check their service_Toward the vanguard company not check their victorious,1.0,Call the electric company to check their service,Toward the vanguard company not check their victorious,-28.642058849334717,-72.84732707589865
Canada appointed to or be junior years ago_Who happens to also be infinity years old,2.0,Canada appointed to or be junior years ago,Who happens to also be infinity years old,-59.4291375875473,-43.81540632247925
Citing recent decades to cry which allows players_Until she changes her mind and allows it,2.0,Citing recent decades to cry which allows players,Until she changes her mind and allows it,-70.36265563964844,-26.800743460655212
Contact the author for more information about my_Read the announcement for more information and keepers,1.0,Contact the author for more information about my,Read the announcement for more information and keepers,-28.598835557699203,-34.65711688995361
Count to ten slowly while taking deep breaths_Some linked in this thread under my post,1.0,Count to ten slowly while taking deep breaths,Some linked in this thread under my post,-35.7046233266592,-42.13470959663391
Cowboys everywhere are shaking their heads in disgust_I puked all day on both they tried,1.0,Cowboys everywhere are shaking their heads in disgust,I puked all day on both they tried,-26.226325254887342,-54.75871539115906
Daily aches and pains are a lot less_Depends of if you want protection or comfort,1.0,Daily aches and pains are a lot less,Depends of if you want protection or comfort,-30.18746731802821,-40.896534860134125
Depending on the country wasps may be protected_Well Capitalism and Socialism are not necessarily opposites,2.0,Depending on the country wasps may be protected,Well Capitalism and Socialism are not necessarily opposites,-43.20403482019901,-36.177973326295614
Depends if we are growing exponentially or not_I think Spain could really use some rain,2.0,Depends if we are growing exponentially or not,I think Spain could really use some rain,-33.59629687666893,-37.6153849363327
Depends somewhat dimmed my alterations having this discussion_You somewhat opened my perspective to this discussion,2.0,Depends somewhat dimmed my alterations having this discussion,You somewhat opened my perspective to this discussion,-77.61907112598419,-44.156330585479736
Der railing on the causes and reasons unknown_Distinguished possibility about other kinds for incidence quo,2.0,Der railing on the causes and reasons unknown,Distinguished possibility about other kinds for incidence quo,-51.00262278318405,-74.66879034042358
Each immune has been come lessened to him_This logic has always seemed flawed to me,2.0,Each immune has been come lessened to him,This logic has always seemed flawed to me,-66.14111423492432,-32.09422779083252
Easy transaction with fast shipping and great communication_Wow I brought him but in the bench,1.0,Easy transaction with fast shipping and great communication,Wow I brought him but in the bench,-37.96735328435898,-46.249202609062195
Enter to be true given that between and_Try to be selective in what you clip,2.0,Enter to be true given that between and,Try to be selective in what you clip,-52.73556566238403,-29.358358830213547
Equipment shall be provided for each Mia dept_So should be leaking for granted videotapes brash,1.0,Equipment shall be provided for each Mia dept,So should be leaking for granted videotapes brash,-45.387207716703415,-76.68539401888847
Eventually lets did not humiliated proportioned upon him_That source does not mention epilepsy at all,2.0,Eventually lets did not humiliated proportioned upon him,That source does not mention epilepsy at all,-74.236496925354,-36.93395832180977
Every damned day you bring me new gifts_Protesters last week to learn anything new crusade,1.0,Every damned day you bring me new gifts,Protesters last week to learn anything new crusade,-38.26561677455902,-56.681193590164185
Every endgame peeling paint a very nice people_Those readership stats paint a very different picture,2.0,Every endgame peeling paint a very nice people,Those readership stats paint a very different picture,-61.987361788749695,-34.823870953172445
Expeditionary Taj versa ago Boko may get victims_I wish combat flight Sims would come back,2.0,Expeditionary Taj versa ago Boko may get victims,I wish combat flight Sims would come back,-85.51972341537476,-53.6159873008728
Firstly that we need to perform some calculations_Which means you have to be thy wages,1.0,Firstly that we need to perform some calculations,Which means you have to be thy wages,-29.67521381378174,-37.738992512226105
For everything I should have gotten a Crane_Many think that should have been a penalty,2.0,For everything I should have gotten a Crane,Many think that should have been a penalty,-45.03039240837097,-27.437403559684753
Formula incorporates sodium salt with cubic acid catalyst_Looks like a nitrogen and possibly iron deficiency,2.0,Formula incorporates sodium salt with cubic acid catalyst,Looks like a nitrogen and possibly iron deficiency,-66.26574683189392,-40.75160950422287
Freedom of hope and good care be strengthens_Lots of love and good wishes from us,2.0,Freedom of hope and good care be strengthens,Lots of love and good wishes from us,-52.45805621147156,-23.03631418198347
Fruit is either rock hard or almost rotten_Her legs are disproportionate to say the least,1.0,Fruit is either rock hard or almost rotten,Her legs are disproportionate to say the least,-34.87662452459335,-32.79488353052875
Getting on better with your associate employee contemporaries_Try force closing the app and reloading it,2.0,Getting on better with your associate employee contemporaries,Try force closing the app and reloading it,-53.747628569602966,-38.91061806678772
Going a variety that they can think people_Read this letter and you will understand everything,2.0,Going a variety that they can think people,Read this letter and you will understand everything,-51.666247606277466,-26.633407413959503
Golf is also played around the world too_Song is been sung using the english language,1.0,Golf is also played around the world too,Song is been sung using the english language,-28.104030400514603,-40.55909073352814
Good on them for avoiding hitting another car_Subscribe by emailing requests or downloading our newsletter,2.0,Good on them for avoiding hitting another car,Subscribe by emailing requests or downloading our newsletter,-37.394484758377075,-42.325587034225464
Grover serves on the board of both organizations_Homer reappears as a gimmick of underdeveloped Harry,1.0,Grover serves on the board of both organizations,Homer reappears as a gimmick of underdeveloped Harry,-28.645160615444183,-56.04971897602081
He gets up and does another monkey dance_He walks up and making this would skyrocket,1.0,He gets up and does another monkey dance,He walks up and making this would skyrocket,-32.04479646682739,-51.971346378326416
He is different countries that the cause diarrhea_He said both sides were very fine people,2.0,He is different countries that the cause diarrhea,He said both sides were very fine people,-60.15158677101135,-32.55760991573334
He must spend all night Crater that dreamt_I could spend all day eating that treat,2.0,He must spend all night Crater that dreamt,I could spend all day eating that treat,-58.84014654159546,-34.39094579219818
He seems like a choir made the acquaintance_This seems like a completely made up story,2.0,He seems like a choir made the acquaintance,This seems like a completely made up story,-52.74103593826294,-26.20411628484726
He was always going to lose all vertebrates_He was always going to lose very badly,2.0,He was always going to lose all vertebrates,He was always going to lose very badly,-43.59724208712578,-29.001388877630234
Heck yes used price values will come down_values yes down will Heck price used come,1.0,Heck yes used price values will come down,values yes down will Heck price used come,-51.771323680877686,-88.54899168014526
Here is my recent review in this forum_There was no like son for a sectors,1.0,Here is my recent review in this forum,There was no like son for a sectors,-29.066545009613037,-50.31630325317383
Hey do you think our show was good_Pray do not owe their intermittent than females,1.0,Hey do you think our show was good,Pray do not owe their intermittent than females,-34.77972251176834,-67.49020743370056
Hot aggravating circumstance I unintentionally severely unfairly misunderstood_No the amount they claim us never accurate,2.0,Hot aggravating circumstance I unintentionally severely unfairly misunderstood,No the amount they claim us never accurate,-74.01423680782318,-57.7590149641037
How can do something along the multiple manslaughter_You can do something whining with bad kinds,2.0,How can do something along the multiple manslaughter,You can do something whining with bad kinds,-59.771960496902466,-52.53453207015991
How did you throw away such an opportunity_throw opportunity you such away did an How,1.0,How did you throw away such an opportunity,throw opportunity you such away did an How,-32.08219110965729,-72.56923961639404
How many parallel universes did you get ahead_The Four Hour Work Week is still good,2.0,How many parallel universes did you get ahead,The Four Hour Work Week is still good,-41.438167452812195,-35.68704652786255
I actually watched my cousin beat the game_I recently helped a coworker circumvent this issue,1.0,I actually watched my cousin beat the game,I recently helped a coworker circumvent this issue,-38.17739462852478,-42.51555065996945
I always had a suspicion that it was_suspicion had was it always that I a,1.0,I always had a suspicion that it was,suspicion had was it always that I a,-27.19540759921074,-50.65948987007141
I am just making a point here Joshua_Jude was merely making a fuss and Marian,1.0,I am just making a point here Joshua,Jude was merely making a fuss and Marian,-35.547388553619385,-46.96701097488403
I am no good at hating other people_I am really good at helping other people,2.0,I am no good at hating other people,I am really good at helping other people,-29.156017422676086,-25.127183943986893
I bet that required all your ninja skills_Thank You for your kind thoughts and information,2.0,I bet that required all your ninja skills,Thank You for your kind thoughts and information,-41.87800705432892,-23.40712970495224
I buy her I plants for special occasions_occasions her buy plants I special for I,1.0,I buy her I plants for special occasions,occasions her buy plants I special for I,-52.82129895687103,-67.53879356384277
I can almost feel the mist of saliva_You can almost behold a schoolboy of skimming,1.0,I can almost feel the mist of saliva,You can almost behold a schoolboy of skimming,-37.68489611148834,-59.07168674468994
I comment even though the post was removed_Traditionally written only once the text was completes,1.0,I comment even though the post was removed,Traditionally written only once the text was completes,-38.245620369911194,-49.447949051856995
I decided to adults between the only true_I try to blog all the time too,2.0,I decided to adults between the only true,I try to blog all the time too,-61.91174891591072,-29.880127608776093
I do have to vacate the house elsewhere_They also have to maintain their weapons regularly,2.0,I do have to vacate the house elsewhere,They also have to maintain their weapons regularly,-36.42511908710003,-35.021175146102905
I figured her being a prof was secondary_I have everything organised on an excel spreadsheet,2.0,I figured her being a prof was secondary,I have everything organised on an excel spreadsheet,-45.55831229686737,-39.616599917411804
I find some streamers to be guilty pleasures_Light and shadow are intuitive to human perception,2.0,I find some streamers to be guilty pleasures,Light and shadow are intuitive to human perception,-45.37462392449379,-32.743957579135895
I have the same setup and I agree_the setup have I agree I and same,1.0,I have the same setup and I agree,the setup have I agree I and same,-31.55668568611145,-61.442222595214844
I just get my friend to jump around_I still need my heart to kick high,1.0,I just get my friend to jump around,I still need my heart to kick high,-39.191545724868774,-37.02571260929108
I just listened to a podcast with Prof_Respect for Perry taking it like a man,2.0,I just listened to a podcast with Prof,Respect for Perry taking it like a man,-31.777369886636734,-43.171350598335266
I know some live in Gulf Countries now_You might both be happier with other people,2.0,I know some live in Gulf Countries now,You might both be happier with other people,-44.30217397212982,-34.08421105146408
I need to give my son a hug_I turn to give my father a look,1.0,I need to give my son a hug,I turn to give my father a look,-25.517454624176025,-29.043367207050323
I purchased my galaxy Bell for christmas shopping_I use my French press for ice coffee,2.0,I purchased my galaxy Bell for christmas shopping,I use my French press for ice coffee,-60.07180565595627,-48.24289906024933
I quickly made me want to be unfounded_That voice made me want to scream repeatedly,2.0,I quickly made me want to be unfounded,That voice made me want to scream repeatedly,-46.20547208935022,-30.344899931922555
I quickly made me want to be unfounded_This guy makes me want to fall asleep,2.0,I quickly made me want to be unfounded,This guy makes me want to fall asleep,-46.20547208935022,-27.260514279827476
I see its value on a rational level_We study such phenomena at a scientific level,2.0,I see its value on a rational level,We study such phenomena at a scientific level,-35.80874991416931,-32.753160268068314
I seriously injure a friend to ppl around_I still need my heart to kick high,2.0,I seriously injure a friend to ppl around,I still need my heart to kick high,-57.161858797073364,-37.02571260929108
I think he built a Fort from here_I think people get the generalization wrong though,2.0,I think he built a Fort from here,I think people get the generalization wrong though,-41.12260711193085,-37.415882766246796
Investigators are disproportionate aiming at the shovel shovels_Tribes create dances plays using the tigers melodic,2.0,Investigators are disproportionate aiming at the shovel shovels,Tribes create dances plays using the tigers melodic,-60.20501375198364,-73.36434626579285
It Would Be Nice To Party With You_Just trying to justify their white savior complex,1.0,It Would Be Nice To Party With You,Just trying to justify their white savior complex,-34.42353993654251,-41.48420515656471
It depends what the ideas are used for_They are appreciated and loved more than ever,1.0,It depends what the ideas are used for,They are appreciated and loved more than ever,-32.404068529605865,-29.03493767976761
It has been happening since the pandemic started_Very simple and no need to organize lodging,1.0,It has been happening since the pandemic started,Very simple and no need to organize lodging,-33.05188453197479,-39.36095833778381
It is no fewer viewers between you said_There was an insult since what you described,2.0,It is no fewer viewers between you said,There was an insult since what you described,-60.586228013038635,-43.61763548851013
It is now I was quite understand dealerships_This is why I will never kiss boys,2.0,It is now I was quite understand dealerships,This is why I will never kiss boys,-59.00257658958435,-32.446937680244446
It needs to not be a spot foul_There has to possibly be a Baton thingy,1.0,It needs to not be a spot foul,There has to possibly be a Baton thingy,-41.380613058805466,-56.16593582928181
It received across goalkeeper Warner to make such_It seemed like something Nasa would let happen,2.0,It received across goalkeeper Warner to make such,It seemed like something Nasa would let happen,-70.29436206817627,-40.777795910835266
It requires muslims to be above the jews_She polled extremely low in her home state,2.0,It requires muslims to be above the jews,She polled extremely low in her home state,-49.14558085799217,-37.042054280638695
Joseph of Baba provided pings known for lacking_Mainly the littering and no development in parks,2.0,Joseph of Baba provided pings known for lacking,Mainly the littering and no development in parks,-78.73972940444946,-49.408687114715576
Jurors is already recovering along the starboard champion_Song is been sung using the english language,2.0,Jurors is already recovering along the starboard champion,Song is been sung using the english language,-69.39443266391754,-40.55909073352814
Just wanted to give you a heads up_Such as beating the game without power ups,1.0,Just wanted to give you a heads up,Such as beating the game without power ups,-15.687525451183319,-41.0304114818573
Latter century it becomes called either sic och_This days have felt like a break honestly,2.0,Latter century it becomes called either sic och,This days have felt like a break honestly,-70.17481327056885,-48.26008069515228
Leisure take place to be a registered train_This ist going to be a messy ride,2.0,Leisure take place to be a registered train,This ist going to be a messy ride,-54.547786474227905,-37.719197139143944
Look at the mass rallies in the streets_The few selected to play the Beta version,1.0,Look at the mass rallies in the streets,The few selected to play the Beta version,-29.136655271053314,-45.36892366409302
Looks amazing keep up the good work pal_The new character lost my enjoyment to play,1.0,Looks amazing keep up the good work pal,The new character lost my enjoyment to play,-30.113170438446105,-50.53282356262207
Lots of empty seats at the ground today_empty ground of seats at Lots today the,1.0,Lots of empty seats at the ground today,empty ground of seats at Lots today the,-34.19612669199705,-68.88202285766602
Love for you to remake and use me_Sorry if my reply seemed snarky or anything,2.0,Love for you to remake and use me,Sorry if my reply seemed snarky or anything,-41.33645749092102,-33.349144904641435
Mail order brides do not involve human trafficking_They play more rugby than soccer in Ireland,2.0,Mail order brides do not involve human trafficking,They play more rugby than soccer in Ireland,-42.6345494389534,-34.93766504526138
Many of how to spend more watery diarrhea_Think of how to keep it closed up,2.0,Many of how to spend more watery diarrhea,Think of how to keep it closed up,-55.0484973192215,-31.73293149471283
My cost basis is not even remotely accurate_My is cost remotely accurate basis even not,1.0,My cost basis is not even remotely accurate,My is cost remotely accurate basis even not,-36.54396969079971,-74.46948051452637
Needs a sub just to perk us up_Subscribe the tuna sandwich to fix me up,1.0,Needs a sub just to perk us up,Subscribe the tuna sandwich to fix me up,-38.465134397149086,-46.46679091453552
Never gains or loses weight for a role_Never hears or reads anything from baby Doe,1.0,Never gains or loses weight for a role,Never hears or reads anything from baby Doe,-39.008198857307434,-42.278440952301025
Never have to worry about males or anything_Never need to talk about ethnicity or genders,2.0,Never have to worry about males or anything,Never need to talk about ethnicity or genders,-36.07659940421581,-35.114122837781906
Never pictured myself saying that when they happened_This invite link is invalid or has expired,2.0,Never pictured myself saying that when they happened,This invite link is invalid or has expired,-40.4973806142807,-41.04205138981342
Officials with large as yet an preaches hate_What can men do against such reckless hate,2.0,Officials with large as yet an preaches hate,What can men do against such reckless hate,-78.13648653030396,-44.55005353689194
Other dimensions exist and are interacted with constantly_They have an unhealthy obsession with the refs,1.0,Other dimensions exist and are interacted with constantly,They have an unhealthy obsession with the refs,-40.520466685295105,-32.43007682263851
Our youngest is more than one months old_The syndication was less than one minute longer,1.0,Our youngest is more than one months old,The syndication was less than one minute longer,-33.82153579592705,-40.91036796569824
People definitely feel a lot better about cholesterol_She would know a little all about unmanned,1.0,People definitely feel a lot better about cholesterol,She would know a little all about unmanned,-34.0256769657135,-49.968065321445465
People who break the rules will be banned_People who violate this law will be banned,1.0,People who break the rules will be banned,People who violate this law will be banned,-22.59781789779663,-25.299089550971985
Register you are now reading the complete article_So you are not getting the full story,2.0,Register you are now reading the complete article,So you are not getting the full story,-30.90689992904663,-23.903602361679077
Report received hundreds of replies from you readers_Send them lots of pictures from all angles,2.0,Report received hundreds of replies from you readers,Send them lots of pictures from all angles,-40.91032208874822,-28.805386688560247
Separately this can be mit in two manners_So I can understand asking in her case,2.0,Separately this can be mit in two manners,So I can understand asking in her case,-48.04723781347275,-36.594016790390015
Several dorsal ecclesiastical drains sandbags Turnpike and Iran_That last snowball had his clarinet in it,2.0,Several dorsal ecclesiastical drains sandbags Turnpike and Iran,That last snowball had his clarinet in it,-99.4494145847857,-52.39572620391846
Shame on the Democrats for reacting to racism_Shame on you Democrats for responding with crickets,1.0,Shame on the Democrats for reacting to racism,Shame on you Democrats for responding with crickets,-30.391500532627106,-37.47668582201004
She also acted rather than a fine thing_Time to feel human for a little while,2.0,She also acted rather than a fine thing,Time to feel human for a little while,-47.048728466033936,-28.553548634052277
She is loathed in this realm of possibility_That is definitely in the range of possibilities,2.0,She is loathed in this realm of possibility,That is definitely in the range of possibilities,-39.725335478782654,-27.679021030664444
Sheep are being called out from the goats_You contribution has been removed for being spam,2.0,Sheep are being called out from the goats,You contribution has been removed for being spam,-33.36558437347412,-45.091017961502075
Someone else may beat me to aced them_Someone else might use you to attempt something,2.0,Someone else may beat me to aced them,Someone else might use you to attempt something,-50.62131321430206,-33.376460313797
That example giving was point in the the_That was the point in giving the example,2.0,That example giving was point in the the,That was the point in giving the example,-61.78252470493317,-32.14255118370056
That was my biggest grip about his route_That was my biggest quality about heist mode,1.0,That was my biggest grip about his route,That was my biggest quality about heist mode,-42.14513421058655,-49.085158467292786
The Evil Council must be in power again_You are not the center of the universe,2.0,The Evil Council must be in power again,You are not the center of the universe,-40.29732084274292,-19.57537266612053
The Fish is About to Hit the Pan_Totally agree but time does heal all wounds,2.0,The Fish is About to Hit the Pan,Totally agree but time does heal all wounds,-45.16248440742493,-37.56258071959019
The article was written over a year ago_The song was written over a year prior,1.0,The article was written over a year ago,The song was written over a year prior,-22.67930844426155,-28.819707989692688
The buildings are usually unique with character etc_They just end up ruining the original song,2.0,The buildings are usually unique with character etc,They just end up ruining the original song,-47.82192516326904,-34.02628783881664
The button is superior to being either gender_The thrones is blamed to something understand never,1.0,The button is superior to being either gender,The thrones is blamed to something understand never,-51.443182438611984,-79.58766317367554
The oils themselves are not necessarily the problem_The psilocybin commentary are not approve the woods,1.0,The oils themselves are not necessarily the problem,The psilocybin commentary are not approve the woods,-34.15212696790695,-73.99162807129323
Their fate I always felt was more speculative_Their fate was more I speculative felt always,1.0,Their fate I always felt was more speculative,Their fate was more I speculative felt always,-43.286324977874756,-62.940505146980286
Their glows gave me the visuals I needed_Your comment gave me the smile I needed,2.0,Their glows gave me the visuals I needed,Your comment gave me the smile I needed,-39.3874169588089,-30.753935396671295
Then I attended high school and borrowed money_When I graduated high school and needed money,2.0,Then I attended high school and borrowed money,When I graduated high school and needed money,-36.47454051487148,-33.51387944817543
There is the desperate desperation to be anywhere_This is a good push to find something,2.0,There is the desperate desperation to be anywhere,This is a good push to find something,-37.26063859462738,-33.31225097179413
There is this thing that always stops me_This is one thing that really frustrates me,2.0,There is this thing that always stops me,This is one thing that really frustrates me,-30.913562059402466,-22.3336301430827
There just needs to be tournament level standard_There might appear to be stricter curbs needed,1.0,There just needs to be tournament level standard,There might appear to be stricter curbs needed,-41.94440916180611,-45.33335109427571
There just needs to be tournament level standard_There only had to be infinitely Barr receptors,1.0,There just needs to be tournament level standard,There only had to be infinitely Barr receptors,-41.94440916180611,-60.89196592569351
There was heed of my chimneys and wrinkle_There was swelling of my lungs and lining,2.0,There was heed of my chimneys and wrinkle,There was swelling of my lungs and lining,-63.777586340904236,-42.113860726356506
They have to balance their bad music somehow_You should watch Shut Up and Sit Down,1.0,They have to balance their bad music somehow,You should watch Shut Up and Sit Down,-43.954387068748474,-27.064358815550804
This field is automatically added to each response_This message is automatically added to every post,2.0,This field is automatically added to each response,This message is automatically added to every post,-38.19112500548363,-29.107201255857944
This is one thing that has bothered me_This is one thing that really frustrates me,2.0,This is one thing that has bothered me,This is one thing that really frustrates me,-22.34216484427452,-22.3336301430827
This is the lie you have been sold_This is the week you have been dying,1.0,This is the lie you have been sold,This is the week you have been dying,-32.58323872089386,-33.73712086677551
Turns out they are not expelled as dust_as dust out not they expelled are Turns,1.0,Turns out they are not expelled as dust,as dust out not they expelled are Turns,-39.78107678517699,-76.86110973358154
Using it you can upload anything to anywhere_We let our actions speak for our words,2.0,Using it you can upload anything to anywhere,We let our actions speak for our words,-32.27610123157501,-32.876695692539215
We either wish for it or ourselves do_We live paycheck for him and made eye,1.0,We either wish for it or ourselves do,We live paycheck for him and made eye,-39.058456897735596,-63.297141313552856
Wonder what happens if you remove a block_if you block what Wonder happens remove a,1.0,Wonder what happens if you remove a block,if you block what Wonder happens remove a,-26.817993879318237,-62.681090116500854
You all make a difficult to get vaccinated_You just need the bulkhead to stay operational,2.0,You all make a difficult to get vaccinated,You just need the bulkhead to stay operational,-48.79778981208801,-41.91727423667908
A reference bridge is relative to accordance Bridges_It allows tungsten are forecast to impact lauded,1.0,A reference bridge is relative to accordance Bridges,It allows tungsten are forecast to impact lauded,-59.33363972604275,-74.2076259162277
A symptom of alcohol intoxication is slurred speech_My oldest Son is big time in it,1.0,A symptom of alcohol intoxication is slurred speech,My oldest Son is big time in it,-30.29577972739935,-44.54521703720093
A waist is a terrible thing to mind_If digress is a matter thing of what,1.0,A waist is a terrible thing to mind,If digress is a matter thing of what,-43.72970736026764,-62.88520336151123
After winning goal disallowed schizophrenic hallucinations unintentionally hilarious_The rule this post violated is outlined below,2.0,After winning goal disallowed schizophrenic hallucinations unintentionally hilarious,The rule this post violated is outlined below,-81.91538080945611,-42.053201496601105
Afterward he ceded all domain rights to I_As they sell their water rights to China,2.0,Afterward he ceded all domain rights to I,As they sell their water rights to China,-43.904237389564514,-39.72605752944946
All the flat earth explanations contradict each other_South those toed buttocks gills stem each side,1.0,All the flat earth explanations contradict each other,South those toed buttocks gills stem each side,-36.53349394630641,-77.27095603942871
Also must not live where there are thunderstorms_He knows some days are bad for me,2.0,Also must not live where there are thunderstorms,He knows some days are bad for me,-41.465300768613815,-36.39857721328735
Always get onto my coworkers about it too_Could give Something Just Like This a try,1.0,Always get onto my coworkers about it too,Could give Something Just Like This a try,-47.21536338329315,-38.712652802467346
An appear to succeed access on Maine laundering_This used to sound faster than slowed Hood,2.0,An appear to succeed access on Maine laundering,This used to sound faster than slowed Hood,-76.76236367225647,-58.5991034694016
An expansion of vessels reduces the blood pressure_Their intentions were not misunderstood or over exaggerated,2.0,An expansion of vessels reduces the blood pressure,Their intentions were not misunderstood or over exaggerated,-44.86927318572998,-38.149049162864685
And it can be others coin as well_But Switzerland or Bulgaria would also be fine,2.0,And it can be others coin as well,But Switzerland or Bulgaria would also be fine,-40.64948656409979,-39.92158806324005
And people win the lottery with worse odds_Getting shafted by more than the student loans,1.0,And people win the lottery with worse odds,Getting shafted by more than the student loans,-39.992112815380096,-45.82769799232483
And seems microbes can tolerate tunneling pretty good_Because earl miles was still archbishop percent sure,1.0,And seems microbes can tolerate tunneling pretty good,Because earl miles was still archbishop percent sure,-63.9055123180151,-78.80312848091125
And the Most Awesome Dad award goes to_Imagine being cleared out of mass on Christmas,1.0,And the Most Awesome Dad award goes to,Imagine being cleared out of mass on Christmas,-45.43963812291622,-41.96862584352493
And they have a disproportionately loud voice online_Places with similar population density have higher limits,2.0,And they have a disproportionately loud voice online,Places with similar population density have higher limits,-36.05214881896973,-32.011962890625
Anyways all my driving equipment was organic plastics_Depends what your line up is when juggling,1.0,Anyways all my driving equipment was organic plastics,Depends what your line up is when juggling,-58.891897201538086,-41.44411116838455
Anyways disciplining assailants jumped overboard and temperate regions_Yellow girl performed Sesame music with no choreography,2.0,Anyways disciplining assailants jumped overboard and temperate regions,Yellow girl performed Sesame music with no choreography,-89.22801898419857,-60.83415203541517
Apparently they are not working in their favor_Today things were finally turning in her favor,2.0,Apparently they are not working in their favor,Today things were finally turning in her favor,-28.71439301967621,-32.58049365878105
Asking questions would have something to contribute somehow_Just shows you have nothing to reply on,2.0,Asking questions would have something to contribute somehow,Just shows you have nothing to reply on,-45.11141160130501,-39.45591855049133
Associated Pac garde typewriter is a advent tool_Cops retaliate pipelines sourced spent a good thing,1.0,Associated Pac garde typewriter is a advent tool,Cops retaliate pipelines sourced spent a good thing,-78.63397681713104,-86.57665681838989
At first pick me kind was supposed influence_He can muscle us generate without your consent,1.0,At first pick me kind was supposed influence,He can muscle us generate without your consent,-69.74344682693481,-55.6496844291687
At least we got the pitch count up_Man I hate being attacked on this level,1.0,At least we got the pitch count up,Man I hate being attacked on this level,-31.61589014530182,-33.12134277820587
Atheism will magically payed calories games getting you_Have in mind undocumented paperwork and all that,2.0,Atheism will magically payed calories games getting you,Have in mind undocumented paperwork and all that,-77.16192400455475,-44.08158603310585
Baby Got Back by Sir Mix A Lot_Cool a hot girl in my home town,1.0,Baby Got Back by Sir Mix A Lot,Cool a hot girl in my home town,-44.77184319496155,-39.57220160961151
Because earl miles was still archbishop percent sure_The center barrel can still crit pretty easily,2.0,Because earl miles was still archbishop percent sure,The center barrel can still crit pretty easily,-78.80312848091125,-54.558029532432556
Because your post reads like an incoherent rant_By kicking things with your shins I suppose,1.0,Because your post reads like an incoherent rant,By kicking things with your shins I suppose,-35.40963710146025,-49.02902936935425
Bet that takes a while to spin up_It relaxes the eye muscles to do that,1.0,Bet that takes a while to spin up,It relaxes the eye muscles to do that,-30.477672338485718,-36.3056622040458
Bold off you to assume I am useful_am to off assume useful you Bold I,1.0,Bold off you to assume I am useful,am to off assume useful you Bold I,-45.7715003490448,-72.04685497283936
But even fancied that would logically contradictory philosophies_They even joke that you mailed apology packages,2.0,But even fancied that would logically contradictory philosophies,They even joke that you mailed apology packages,-70.67684578895569,-53.58523726463318
But he should play top flight football somewhere_Was very much going to be chaotic good,1.0,But he should play top flight football somewhere,Was very much going to be chaotic good,-37.1217896938324,-41.08998566865921
But nationalism has no place in a democracy_This antelope is no point in their semifinal,1.0,But nationalism has no place in a democracy,This antelope is no point in their semifinal,-26.28009194135666,-57.63169379532337
